Canton,Code
Argovie,AG
Appenzell Rhodes-Intérieures,AI
Appenzell Rhodes-Extérieures,AR
Berne,BE
Bâle-Campagne,BL
Bâle-Ville,BS
Fribourg,FR
Genève,GE
Glaris,GL
Grisons,GR
Jura,JU
Lucerne,LU
Neuchâtel,NE
Nidwald,NW
Obwald,OW
St-Gall,SG
Schaffhouse,SH
Soleure,SO
Schwyz,SZ
Thurgovie,TG
Tessin,TI
Uri,UR
Vaud,VD
Valais,VS
Zoug,ZG
Zurich,ZH
